1706865367.390348 client started (33178): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1706865367.390387 on Darwin 23.2.0 Darwin Kernel Version 23.2.0: Wed Nov 15 21:53:34 PST 2023; root:xnu-10002.61.3~2/RELEASE_ARM64_T8103
1706865367.391054 using libevent 2.1.12-stable (select); utf8proc 2.9.0; ncurses 6.4
1706865367.391091 flags are 0x10010000
1706865367.391101 socket is /private/tmp/tmux-501/default
1706865367.391115 trying connect
1706865367.391154 add peer 0x118008000: 7 (0x0)
1706865367.393965 sending message 100 to peer 0x118008000 (4 bytes)
1706865367.393976 sending message 111 to peer 0x118008000 (8 bytes)
1706865367.393982 sending message 101 to peer 0x118008000 (16 bytes)
1706865367.393988 sending message 109 to peer 0x118008000 (4 bytes)
1706865367.393993 sending message 102 to peer 0x118008000 (13 bytes)
1706865367.393998 sending message 108 to peer 0x118008000 (25 bytes)
1706865367.394003 sending message 112 to peer 0x118008000 (70 bytes)
1706865367.394008 sending message 112 to peer 0x118008000 (5 bytes)
1706865367.394012 sending message 112 to peer 0x118008000 (5 bytes)
1706865367.394017 sending message 112 to peer 0x118008000 (6 bytes)
1706865367.394022 sending message 112 to peer 0x118008000 (6 bytes)
1706865367.394027 sending message 112 to peer 0x118008000 (11 bytes)
1706865367.394031 sending message 112 to peer 0x118008000 (10 bytes)
1706865367.394036 sending message 112 to peer 0x118008000 (13 bytes)
1706865367.394041 sending message 112 to peer 0x118008000 (13 bytes)
1706865367.394046 sending message 112 to peer 0x118008000 (18 bytes)
1706865367.394051 sending message 112 to peer 0x118008000 (11 bytes)
1706865367.394055 sending message 112 to peer 0x118008000 (21 bytes)
1706865367.394060 sending message 112 to peer 0x118008000 (13 bytes)
1706865367.394065 sending message 112 to peer 0x118008000 (7 bytes)
1706865367.394069 sending message 112 to peer 0x118008000 (13 bytes)
1706865367.394074 sending message 112 to peer 0x118008000 (7 bytes)
1706865367.394079 sending message 112 to peer 0x118008000 (13 bytes)
1706865367.394083 sending message 112 to peer 0x118008000 (9 bytes)
1706865367.394088 sending message 112 to peer 0x118008000 (21 bytes)
